idDocumentSentence1,idDocumentSentence2,cosine,sentence
4361530,5229891,0.954493,"Devido a uma operação para apreender suspeitos de roubos de veículos em vias expressas da cidade."
3111673,5229884,0.595746,"Próximo a um conjunto de favelas da Maré, um ônibus foi incendiado na Avenida Brasil."
3111679,5229886,0.426854,"Os veículos só voltaram a circular no fim da manhã."
3111664,5229879,0.454544,"Um policial e dois suspeitos foram mortos."
3111683,5229888,0.819579,"Quatro postos de saúde também tiveram os atendimentos interrompidos."
3111667,5229881,0.509172,"De acordo com a PM, os confrontos entre policiais e criminosos no Complexo da Maré, na Zona Norte do Rio, deixaram um policial morto e outro ferido."
4361528,5229890,0.446521,"Por causa de tiroteios durante uma ação policial no Complexo da Maré."
3111671,5229883,0.647337,"Os tiroteios aconteceram no início da manhã de hoje."
4361532,5229892,0.318735,"Uma das principais vias de acesso ao centro do Rio, e o trânsito foi interrompido."
3111677,5229885,0.775827,"As linhas amarela e vermelha, que dão acesso ao aeroporto internacional do Rio de Janeiro, também ficaram bloqueadas."
3111662,5229878,0.852624,"Quarenta e duas escolas e quatro postos de saúde não abriram as portas hoje no Rio de Janeiro."
3111681,5229887,0.643835,"Segundo os governos municipal e estadual, quarenta escolas do município e duas do estado não abriram as portas por causa dos tiroteios."
3111666,5229880,-1,"De acordo com a PM, os confrontos entre policiais e criminosos no Complexo da Maré, na Zona Norte do Rio, deixaram um policial morto e outro ferido."
3111685,5229889,0.451067,"A PM disse que prendeu dois suspeitos e recuperou quatro veículos roubados, além de apreender armas e material usado para embalar entorpecentes."
3111669,5229882,0.629647,"Outros dois homens suspeitos de serem seguranças do tráfico morreram."
