idDocumentSentence1,idDocumentSentence2,cosine_anno_lome,cosine_anno_lomeedt,cosine_lome_lomeedt,sentence
5229251,5229445,0.627706,0.70568,0.945275,"Deficiente visual, ele tem conversado bastante com a psicóloga e confessa que ainda está abalado com tudo que aconteceu."
3118633,5229434,0.81819,0.762112,0.936623,"Nos abrigos há uma preocupação muito grande com, não só de receber as pessoas mas como também fazer um trabalho de apoio emocional pra quem, obviamente, perdeu tudo e ainda tem uma preocupação muito grande com o que vem, com o futuro, né, com o que vem aí."
5229260,5229454,0.635222,0.635222,1,"Eles vão voltar pra uma realidade onde eles vão entrar nos lares e eles vão ter que tirar o lodo."
5229253,5229447,0.850229,0.850229,1,"A psicóloga tem procurado alternar o atendimento aos próprios pacientes com a assistência aos desalojados."
3118760,5229440,0.542051,0.542051,1,"Não é o alimentar e dar um local pra dormir."
3118637,5229436,0.527096,0.847112,0.761606,"Adriano é um dos duzentos desalojados que estão neste abrigo na região metropolitana de Porto Alegre."
5229255,5229449,0.856232,0.856232,1,"Formar, dentro da possibilidade, um ambiente em que ele traga."
3118764,5229442,0.541234,0.541234,1,"Porto Alegre é longe tô pegando um ônibus pra te encontrar."
3118749,5229438,0.901795,0.901795,1,"Eliane é voluntária no abrigo e também em uma plataforma online gratuita."
5229257,5229451,0.999141,0.999141,1,"É acolher, que é muito mais importante."
5229250,5229444,0.763075,0.763075,1,"Por enquanto ele só quer um radinho para ouvir as músicas que mais gosta."
5229259,5229453,0.745439,0.745439,1,"Porém, agora, o desafio é voltar para casa."
5229252,5229446,0.831592,0.831592,1,"Fica mais difícil."
3118635,5229435,0.934962,0.954228,0.977654,"Eu fui conhecer um trabalho de saúde mental em um dos abrigos, vamos ver como é que foi."
5229261,5229455,0.466497,0.466497,1,"Eles vão perder muitos pertences, e pertences que têm um apelo emocional."
5229254,5229448,0.546262,0.546262,1,"Para ela, mais do que fazer perguntas, o momento agora é de ouvir."
3118762,5229441,0.554409,0.554409,1,"Embora as conversas venham surtindo efeito, pensar no futuro ainda causa desconforto."
3118639,5229437,0.897588,0.897588,1,"Eles conversam muito comigo, porque a gente não consegue, né, e até mesmo por causa da minha deficiência fica mais difícil, né?"
5229256,5229450,0.996776,0.996776,1,"A pessoa tem que eleger o que é necessário e o que é importante."
5229249,5229443,0.691547,0.691547,1,"Lembra do Adriano do começo da reportagem?"
3118758,5229439,0.406664,0.406664,1,"O acolhimento ele é com um aperto de mão, né, uma troca de olhar sincera, né?"
5229258,5229452,0.704084,0.704084,1,"Então a gente vê que essas pessoas são gratas."
