idDocumentSentence1,idDocumentSentence2,cosine,sentence
3112680,5229999,-1,"Enquanto isso, já surgiram outros relatos semelhantes de injúria racial envolvendo a mesma professora."
4361558,5230008,-1,"E que as pessoas passem a ser responsabilizadas por racismo e pagar por isso, só assim o racismo pode começar a ser minimizado na sociedade."
3112684,5230001,-1,"A pena para o crime de injúria racial é de reclusão de dois a cinco anos, além de multa."
3112670,5229994,-1,"Na quarta-feira passada, a minha filha chegou em casa falando que a professora tinha chamado ela de lixo, que ela fumava craque e tacou uma bolinha de papel nela."
3112688,5230003,-1,"Essa interpretação da lei e a lei, ela precisa ser mudada para que isso seja incluso."
3112660,5229989,0.684017,"A professora de uma escola municipal no Rio de Janeiro foi presa após atacar uma das alunas com ofensas racistas."
3112674,5229996,-1,"E falou que ela morava debaixo da ponte ainda, né."
3349207,5230005,-1,"A mãe relata que aconteceu."
3112664,5229991,0.428747,"A professora Cristiane Bispo Valeriano, que da aula na escola municipal Estados Unidos, localizada no Rio de Janeiro, foi levada pela ambulância do Corpo de Bombeiros."
3112678,5229998,-1,"A Secretaria Municipal de Educação do Rio de Janeiro informou que instaurou sindicância para apurar o caso."
4361556,5230007,-1,"Para que essa questão da injúria racial seja considerada como racismo de fato."
3112682,5230000,-1,"Começou a chegar áudios pra mim, no WhatsApp, de pessoas que estudaram com ela anos atrás e que falou que sofreu a mesma coisa com ela, racismo."
3112668,5229993,-1,"A vítima, uma menina de oito anos."
3112686,5230002,-1,"Esse pesquisador fala sobre as mudanças necessárias para construirmos uma sociedade anti-racista."
3112672,5229995,-1,"Chegou na sexta-feira, a professora chamou ela de preta do cabelo duro."
3112690,5230004,-1,"Nossa produção tentou entrar em contato com a defesa da professora Cristiane Bispo Valeriano, mas não obteve resposta."
3112662,5229990,0.638503,"Pois é, a família chamou a polícia e luta agora por justiça para que casos como esse não voltem a acontecer."
3112676,5229997,-1,"E aí, na sexta-feira, na mesma hora que minha filha me ligou, eu vim aqui com a polícia."
3112666,5229992,-1,"Ela passou mal ao ser presa em flagrante pelo crime de injúria racial."
4361554,5230006,-1,"E que a professora foi afastada de suas funções e pode ser demitida do serviço público."
